patient,model,sensitivity_mean,fdr_per_24h_mean,latency_sec_mean
chb01,random_forest,1.0,2.057142857142857,5.857142857142857
chb01,logistic_regression,1.0,18.069846038302664,1.0
chb01,knn,0.8571428571428571,1.3714285714285714,2.1666666666666665
chb02,logistic_regression,0.6666666666666666,24.727272727272727,9.0
chb02,knn,0.3333333333333333,2.1818181818181817,0.0
chb02,random_forest,0.0,0.0,
chb03,random_forest,1.0,3.870967741935484,10.571428571428571
chb03,knn,1.0,4.645161290322581,14.285714285714286
chb03,logistic_regression,1.0,30.963877408620043,1.2857142857142858
chb04,random_forest,0.0,0.0,
chb04,knn,0.0,1.349646304392048,
chb04,logistic_regression,0.0,56.75842261047616,
chb05,knn,1.0,0.0,12.2
chb05,random_forest,1.0,9.882352941176471,19.4
chb05,logistic_regression,1.0,16.939221117810003,6.8
chb14,logistic_regression,0.8571428571428571,35.36842105263158,20.571428571428573
chb14,random_forest,0.2857142857142857,0.0,8.5
chb14,knn,0.14285714285714285,0.0,1.0
chb15,random_forest,1.0,23.04,17.357142857142858
chb15,logistic_regression,1.0,146.88,4.071428571428571
chb15,knn,0.9285714285714286,9.6,6.6923076923076925
chb16,logistic_regression,0.6,36.0,0.6666666666666666
chb16,knn,0.4,2.0,0.5
chb16,random_forest,0.2,0.0,2.0
chb16,svm,0.0,0.0,
chb17,knn,1.0,11.294117647058824,9.666666666666666
chb17,logistic_regression,1.0,67.76470588235294,2.0
chb17,random_forest,0.6666666666666666,2.823529411764706,20.5
chb18,logistic_regression,0.8333333333333334,43.03448275862069,10.4
chb18,random_forest,0.5,2.4827586206896552,18.666666666666668
chb18,knn,0.3333333333333333,0.8275862068965517,14.0
chb19,knn,1.0,0.0,42.0
chb19,random_forest,1.0,20.307692307692307,23.333333333333332
chb19,logistic_regression,1.0,48.0,16.666666666666668
chb24,random_forest,1.0,26.4,6.666666666666667
chb24,logistic_regression,0.9166666666666666,213.89240862230554,5.454545454545454
chb24,knn,0.8333333333333334,12.0,36.9
