metric,unit,Pipeline A,Pipeline B,Pipeline C,Pipeline D
PSD preservation ratio - delta,ratio,0.9819874468292599,1.0019487412537185,0.9027225633395988,0.7935677982862117
PSD preservation ratio - theta,ratio,1.3744815322346062,1.0803714164277536,1.4208677306578843,1.9912312043803828
PSD preservation ratio - alpha,ratio,1.3133133306598128,1.0200223952227363,1.5483527629436833,1.9907238356234536
PSD preservation ratio - beta,ratio,1.0161200607652794,0.9327361213956589,1.8689356320516202,1.0346903692621496
PSD preservation ratio - gamma,ratio,1.046102376263269,0.5109548354052509,1.1975389161686818,0.00021342542699717508
SNR improvement,dB,0.40566738437489747,4.173356129106974,-2.6579802719757524,3.862069780074659
Channel correlation,correlation,0.6912838341478917,0.8612979039967961,0.754035154794287,0.6774405398135572
Clean runtime,seconds,0.09383249999882537,0.022397999997338047,0.3795299170014914,0.029840500003047055
Noisy runtime,seconds,0.06693024999913177,0.020237333999830298,0.4014071670026169,0.028608666001673555
Peak memory,MB,828.875,834.71875,846.515625,846.59375
PCA component count,count,142,128,130,164
PCA explained variance,variance,0.9504855257956077,0.9504467984651038,0.9505560988460733,0.9505483691697808
Clustering algorithm,algorithm,KMeans,KMeans,KMeans,KMeans
Number of clusters,count,2,2,2,2
Silhouette score,score,0.29303316590989825,0.47712470519523625,0.44521162848381135,0.31066475428703033
Classification status,status,Preliminary recording-wise,Preliminary recording-wise,Preliminary recording-wise,Preliminary recording-wise
Accuracy,score,0.9994242947610823,0.9994242947610823,0.9844559585492227,0.9988485895221646
Balanced accuracy,score,0.9,0.9,0.8924942263279446,0.8
Precision,score,1.0,1.0,0.13333333333333333,1.0
Recall,score,0.8,0.8,0.8,0.6
F1,score,0.8888888888888888,0.8888888888888888,0.22857142857142856,0.75
ROC-AUC,score,0.9979214780600462,0.8278290993071594,0.9914549653579677,0.8174364896073903
Total recordings,count,36,36,36,36
Total valid windows,count,63257,63257,63257,63257
Ictal windows,count,88,88,88,88
Interictal windows,count,63169,63169,63169,63169
Ambiguous windows excluded,count,0,0,0,0
Number of patients,count,1,1,1,1
Patient-wise evaluation status,status,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE
