component,explained_variance,explained_variance_ratio,cumulative_variance_ratio
PC1,102.75008993176073,0.23233704709920022,0.23233704709920022
PC2,71.2451640767521,0.16109855526826156,0.3934356023674618
PC3,39.59668604221154,0.08953546528349884,0.48297106765096065
PC4,19.20609467203675,0.043428549068640555,0.5263996167196012
PC5,11.793556255733321,0.026667422257977056,0.5530670389775783
PC6,10.562542458211917,0.023883871305910315,0.5769509102834885
PC7,9.504748891518373,0.021492003484779178,0.5984429137682677
PC8,6.760630136604729,0.015287041047961924,0.6137299548162297
PC9,6.341466733391487,0.014339234701327154,0.6280691895175569
PC10,5.899198320006938,0.013339183633155269,0.6414083731507121
PC11,5.300639930563304,0.011985731886182148,0.6533941050368942
PC12,4.971655625084017,0.011241837237254816,0.664635942274149
PC13,4.718150331031578,0.010668614659218393,0.6753045569333674
PC14,4.3043820724876305,0.009733007737245633,0.685037564670613
PC15,4.099638274567711,0.009270043963178069,0.6943076086337912
PC16,3.840369687383673,0.008683789508394366,0.7029913981421855
PC17,3.7427980705932287,0.008463161951368946,0.7114545600935545
PC18,3.471386517525312,0.007849449994228206,0.7193040100877827
PC19,3.280049848976588,0.007416802231078487,0.7267208123188611
PC20,2.9667837161956436,0.006708449291486433,0.7334292616103475
PC21,2.9435453708337764,0.006655903074306153,0.7400851646846537
PC22,2.7312522325157587,0.006175868838725556,0.7462610335233792
PC23,2.644409983915753,0.005979502376987373,0.7522405359003667
PC24,2.5571391378174955,0.005782166776660561,0.7580227026770272
PC25,2.524485426684329,0.005708330667840134,0.7637310333448674
PC26,2.461239156484928,0.00556531909804077,0.7692963524429082
PC27,2.3623434194374844,0.005341697459056689,0.7746380499019648
PC28,2.2391212518872656,0.0050630692401928985,0.7797011191421578
PC29,2.2245854402448773,0.005030201068920001,0.7847313202110778
PC30,2.1416389401899143,0.0048426436185782795,0.7895739638296562
PC31,2.0727301919807575,0.004686828133756314,0.7942607919634125
PC32,1.9706518188743825,0.004456009963222581,0.7987168019266351
PC33,1.9505108751009206,0.004410467546615209,0.8031272694732503
PC34,1.878073882644212,0.004246674045905712,0.807373943519156
PC35,1.809924911495475,0.004092576558204615,0.8114665200773606
PC36,1.7827738504782324,0.004031182963838461,0.8154977030411991
PC37,1.7224250891739097,0.0038947232000868894,0.8193924262412859
PC38,1.6803227074343865,0.003799521891205305,0.8231919481324913
PC39,1.6091931656576886,0.0036386847794432366,0.8268306329119346
PC40,1.5985173521770693,0.003614544781306824,0.8304451776932414
PC41,1.5372027933596244,0.003475901169906617,0.833921078863148
PC42,1.5095634391439727,0.0034134034538806928,0.8373344823170288
PC43,1.4845381357151395,0.003356816592445554,0.8406912989094744
PC44,1.4528428304195093,0.003285147617321688,0.843976446526796
PC45,1.4103037225061594,0.003188958789405471,0.8471654053162015
PC46,1.4012976117838454,0.0031685942994818072,0.8503339996156833
PC47,1.3598127346105364,0.0030747892831735897,0.853408788898857
PC48,1.320761772749829,0.002986487801674879,0.8563952767005318
PC49,1.3069181056499117,0.0029551846978318045,0.8593504613983637
PC50,1.2600589900015515,0.002849227529651705,0.8621996889280154
PC51,1.2299095442619847,0.0027810540302468808,0.8649807429582622
PC52,1.1948256609215517,0.0027017228504736803,0.8676824658087359
PC53,1.177326803206064,0.002662154681414893,0.8703446204901507
PC54,1.1446233531827243,0.002588206103720945,0.8729328265938716
PC55,1.1275272878097373,0.002549548722998333,0.8754823753168699
PC56,1.114457348666287,0.002519995161844545,0.8780023704787144
PC57,1.0992880633540867,0.0024856945888875525,0.880488065067602
PC58,1.0758849878961372,0.002432775886348695,0.8829208409539507
PC59,1.0560930850735628,0.002388022716192589,0.8853088636701433
PC60,1.0426482493698854,0.002357621444250142,0.8876664851143934
PC61,1.0052752698407041,0.0022731141926178025,0.8899395993070112
PC62,0.9834960215401665,0.002223867265033138,0.8921634665720443
PC63,0.9696614036292347,0.0021925846230879454,0.8943560511951322
PC64,0.9627689030562804,0.0021769993984782805,0.8965330505936104
PC65,0.9571417357217579,0.002164275327454067,0.8986973259210645
PC66,0.936228217537765,0.0021169859765391304,0.9008143118976036
PC67,0.9026178897710121,0.0020409867797447556,0.9028552986773484
PC68,0.8684600170717832,0.0019637494821093,0.9048190481594577
PC69,0.8633276597279838,0.001952144268423276,0.906771192427881
PC70,0.854105501432911,0.001931291254790085,0.908702483682671
PC71,0.836888697844027,0.0018923608625248832,0.9105948445451959
PC72,0.8077043344755691,0.0018263695936997096,0.9124212141388957
PC73,0.7970214377971205,0.0018022135791367542,0.9142234277180324
PC74,0.7649767297833595,0.0017297545395386588,0.915953182257571
PC75,0.7532958547947712,0.0017033419105649433,0.917656524168136
PC76,0.7323797601385209,0.001656046733767454,0.9193125709019034
PC77,0.7160918271744015,0.0016192166905942898,0.9209317875924977
PC78,0.7027370991019801,0.0015890191687505638,0.9225208067612483
PC79,0.69206571677724,0.0015648891902810234,0.9240856959515292
PC80,0.6879673697273531,0.0015556220660167932,0.925641318017546
PC81,0.6551170704740923,0.001481341434925409,0.9271226594524714
PC82,0.6455353504855226,0.0014596753854868717,0.9285823348379583
PC83,0.6286169532921221,0.0014214197455338887,0.9300037545834922
PC84,0.6096773372060819,0.001378593754067161,0.9313823483375593
PC85,0.6011562044503449,0.001359325889448035,0.9327416742270073
PC86,0.5992758476386937,0.001355074053275414,0.9340967482802827
PC87,0.5885984221636945,0.001330930410120156,0.9354276786904028
PC88,0.5813509469910121,0.0013145425219765632,0.9367422212123794
PC89,0.5613275173151608,0.0012692658265812072,0.9380114870389605
PC90,0.542935352116737,0.0012276777233026562,0.9392391647622632
PC91,0.540743401104003,0.0012227213147387032,0.9404618860770019
PC92,0.5284602787514535,0.0011949468925611184,0.941656832969563
PC93,0.5110479798278287,0.001155574449015713,0.9428124074185787
PC94,0.4906389249513612,0.0011094257833821049,0.9439218332019609
PC95,0.4816750523191076,0.0010891568016290546,0.9450109900035899
PC96,0.46566118785855815,0.0010529464782718502,0.9460639364818617
PC97,0.4537580657790988,0.0010260313073261161,0.9470899677891879
PC98,0.45017293493252164,0.0010179246602671093,0.9481078924494549
PC99,0.43282817204699203,0.0009787049282538715,0.9490865973777088
PC100,0.41827862874241495,0.0009458057071410491,0.9500324030848499
PC101,0.4122220699867441,0.0009321107023210056,0.950964513787171
PC102,0.40212430894547824,0.0009092777881678486,0.9518737915753388
PC103,0.3976382926424737,0.0008991340716828202,0.9527729256470217
PC104,0.39085904804684973,0.0008838049398839427,0.9536567305869056
PC105,0.3771776328231755,0.0008528687176838688,0.9545095993045895
PC106,0.3677313682756408,0.0008315089581688198,0.9553411082627583
PC107,0.34669769302974385,0.0007839479098084653,0.9561250561725668
PC108,0.3449235060173527,0.00077993614328121,0.956904992315848
PC109,0.34163782704928525,0.0007725066125658235,0.9576774989284138
PC110,0.3272879480892797,0.0007400588696391473,0.9584175577980529
PC111,0.32520965706520294,0.000735359467430668,0.9591529172654836
