fold,model,test_recordings,n_test_windows,n_ictal_windows,n_interictal_windows,accuracy,precision,recall_sensitivity,specificity,f1,roc_auc,pr_auc,tp,tn,fp,fn
1,LinearSVM,chb01_02;chb01_10;chb01_15;chb01_22;chb01_25;chb01_33;chb01_39;chb01_46,14392,21,14371,0.9972,0.2564,0.4762,0.998,0.3333,0.9399,0.3917,10,14342,29,11
2,LinearSVM,chb01_03;chb01_11;chb01_16;chb01_19;chb01_23;chb01_27;chb01_32;chb01_38;chb01_43,14690,47,14643,0.9954,0.2308,0.1915,0.998,0.2093,0.9128,0.1225,9,14613,30,38
3,LinearSVM,chb01_07;chb01_09;chb01_12;chb01_21;chb01_24;chb01_31;chb01_37;chb01_42,14391,47,14344,0.9951,0.3925,0.8936,0.9955,0.5455,0.9706,0.821,42,14279,65,5
4,LinearSVM,chb01_04;chb01_06;chb01_08;chb01_13;chb01_17;chb01_30;chb01_36;chb01_41,14391,14,14377,0.9965,0.2,0.8571,0.9967,0.3243,0.9955,0.6982,12,14329,48,2
5,LinearSVM,chb01_01;chb01_05;chb01_14;chb01_18;chb01_20;chb01_26;chb01_29;chb01_34;chb01_40,15083,97,14986,0.9964,0.6694,0.8557,0.9973,0.7511,0.9795,0.8293,83,14945,41,14
1,LR,chb01_02;chb01_10;chb01_15;chb01_22;chb01_25;chb01_33;chb01_39;chb01_46,14392,21,14371,0.9973,0.2632,0.4762,0.9981,0.339,0.9357,0.4078,10,14343,28,11
2,LR,chb01_03;chb01_11;chb01_16;chb01_19;chb01_23;chb01_27;chb01_32;chb01_38;chb01_43,14690,47,14643,0.9955,0.2791,0.2553,0.9979,0.2667,0.9369,0.1412,12,14612,31,35
3,LR,chb01_07;chb01_09;chb01_12;chb01_21;chb01_24;chb01_31;chb01_37;chb01_42,14391,47,14344,0.9948,0.3727,0.8723,0.9952,0.5223,0.9765,0.8366,41,14275,69,6
4,LR,chb01_04;chb01_06;chb01_08;chb01_13;chb01_17;chb01_30;chb01_36;chb01_41,14391,14,14377,0.9963,0.1905,0.8571,0.9965,0.3117,0.9977,0.6455,12,14326,51,2
5,LR,chb01_01;chb01_05;chb01_14;chb01_18;chb01_20;chb01_26;chb01_29;chb01_34;chb01_40,15083,97,14986,0.9966,0.6923,0.8351,0.9976,0.757,0.9795,0.8338,81,14950,36,16
1,RF,chb01_02;chb01_10;chb01_15;chb01_22;chb01_25;chb01_33;chb01_39;chb01_46,14392,21,14371,0.9985,0.0,0.0,1.0,0.0,0.8908,0.1516,0,14371,0,21
2,RF,chb01_03;chb01_11;chb01_16;chb01_19;chb01_23;chb01_27;chb01_32;chb01_38;chb01_43,14690,47,14643,0.9968,0.0,0.0,1.0,0.0,0.8678,0.2853,0,14643,0,47
3,RF,chb01_07;chb01_09;chb01_12;chb01_21;chb01_24;chb01_31;chb01_37;chb01_42,14391,47,14344,0.9985,1.0,0.5319,1.0,0.6944,0.9875,0.9313,25,14344,0,22
4,RF,chb01_04;chb01_06;chb01_08;chb01_13;chb01_17;chb01_30;chb01_36;chb01_41,14391,14,14377,0.9994,1.0,0.4286,1.0,0.6,0.9999,0.8864,6,14377,0,8
5,RF,chb01_01;chb01_05;chb01_14;chb01_18;chb01_20;chb01_26;chb01_29;chb01_34;chb01_40,15083,97,14986,0.994,1.0,0.0722,1.0,0.1346,0.9874,0.9003,7,14986,0,90
1,KNN,chb01_02;chb01_10;chb01_15;chb01_22;chb01_25;chb01_33;chb01_39;chb01_46,14392,21,14371,0.9985,0.0,0.0,0.9999,0.0,0.5948,0.0443,0,14370,1,21
2,KNN,chb01_03;chb01_11;chb01_16;chb01_19;chb01_23;chb01_27;chb01_32;chb01_38;chb01_43,14690,47,14643,0.9974,1.0,0.1915,1.0,0.3214,0.6378,0.2383,9,14643,0,38
3,KNN,chb01_07;chb01_09;chb01_12;chb01_21;chb01_24;chb01_31;chb01_37;chb01_42,14391,47,14344,0.9993,1.0,0.7872,1.0,0.881,0.9468,0.8827,37,14344,0,10
4,KNN,chb01_04;chb01_06;chb01_08;chb01_13;chb01_17;chb01_30;chb01_36;chb01_41,14391,14,14377,0.9996,0.7857,0.7857,0.9998,0.7857,0.9999,0.9204,11,14374,3,3
5,KNN,chb01_01;chb01_05;chb01_14;chb01_18;chb01_20;chb01_26;chb01_29;chb01_34;chb01_40,15083,97,14986,0.9971,1.0,0.5464,1.0,0.7067,0.8865,0.7655,53,14986,0,44
