component,explained_variance,explained_variance_ratio,cumulative_variance_ratio
PC1,114.7941362070654,0.25971168015478263,0.25971168015478263
PC2,65.20472585950374,0.14751998200027772,0.40723166215506035
PC3,24.772225722648457,0.05604499128768717,0.4632766534427475
PC4,18.611910004582377,0.04210781646076961,0.505384469903517
PC5,14.10109340755621,0.03190248894150874,0.5372869588450258
PC6,11.912455866931868,0.026950888174200608,0.5642378470192264
PC7,10.991741887293964,0.02486785342613271,0.5891057004453591
PC8,9.235038306954724,0.02089346541766451,0.6099991658630236
PC9,8.37089384656737,0.018938414252866125,0.6289375801158897
PC10,6.235708120863925,0.014107743535812374,0.6430453236517021
PC11,5.999001897508052,0.013572216434846539,0.6566175400865486
PC12,4.76473054863365,0.010779785598441576,0.6673973256849902
PC13,4.273039858842255,0.009667378472246156,0.6770647041572364
PC14,4.144944776595994,0.009377574566498454,0.6864422787237349
PC15,3.87454304227313,0.008765814322829876,0.6952080930465647
PC16,3.467412876291383,0.007844717976426887,0.7030528110229917
PC17,3.400484111095623,0.007693297506409831,0.7107461085294015
PC18,3.3194602083424356,0.007509988022040603,0.7182560965514421
PC19,2.8949201085587855,0.006549503225073207,0.7248055997765153
PC20,2.7125554860747685,0.006136919237153433,0.7309425190136687
PC21,2.6475977274751874,0.005989957996950751,0.7369324770106195
PC22,2.503871477588994,0.005664789943305934,0.7425972669539254
PC23,2.4087471494146286,0.005449579481255881,0.7480468464351813
PC24,2.3529684317322865,0.005323385017280562,0.7533702314524618
PC25,2.3339834424909474,0.005280433141718776,0.7586506645941806
PC26,2.264289164862295,0.005122755942010058,0.7637734205361907
PC27,2.163597374424297,0.004894949584155028,0.7686683701203457
PC28,2.050004189210468,0.004637954950450026,0.7733063250707958
PC29,1.9975205173751502,0.004519215239142335,0.7778255403099381
PC30,1.9721438475932533,0.004461802746104351,0.7822873430560424
PC31,1.881787701543097,0.00425737987854021,0.7865447229345827
PC32,1.846878108902359,0.004178399982372943,0.7907231229169556
PC33,1.8039222609126695,0.004081216138123683,0.7948043390550793
PC34,1.77984158994326,0.004026735728902791,0.7988310747839821
PC35,1.7106582907809271,0.00387021457322555,0.8027012893572076
PC36,1.6577406275343107,0.003750492994356281,0.8064517823515639
PC37,1.6279668851586997,0.0036831325096454808,0.8101349148612094
PC38,1.5612994370261402,0.0035323032465992624,0.8136672181078086
PC39,1.5438800350934934,0.003492893375218213,0.8171601114830268
PC40,1.4979122160270657,0.0033888952101790285,0.8205490066932059
PC41,1.4752835054631865,0.0033376997342212623,0.8238867064274271
PC42,1.4201098413613196,0.0032128741509846377,0.8270995805784117
PC43,1.4104633641919224,0.003191049841172159,0.8302906304195838
PC44,1.3816867541218771,0.003125945280979558,0.8334165757005634
PC45,1.341882472028592,0.003035891578574803,0.8364524672791381
PC46,1.3348018645050477,0.003019872324131882,0.8394723396032701
